title;company;type;location;description;status;posted_by 
Consultant/Data Analyst;Urban Science;hybrid;Woodcliff Lake, NJ;At Urban Science we are Automotive Business Scientists. We empower our clients to turn overwhelming industry data into discovery, action and measured success. We are unique market leaders because we find and examine possibilities through the clarity of a scientific lens. To solve the toughest client challenges, we need curious, creative and dedicated people to join our team. POSITION OVERVIEW: This position supports the delivery of client services on an account team. The Consultant is focused on analytical problem solving, data analysis, technical (SQL, Advanced Excel, Tableau, Proprietary Software) & client handling skills to execute high quality projects and assignments with accuracy in a timely manner. 2+ years experience, 4 year related degree preferably in STEM field required. May consider less experience at Analyst versus Consultant level.ResponsibilitiesWith limited guidance, plans, organizes, develops and delivers client-requested reports, deliverables and projects on time, adhering to client requested specifications.Designs, creates and manages client databases, utilizing Urban Science proprietary software, ensuring accurate and high quality data.Serves as a contact for, and develops relationships with, the client in order to assist in effectively responding to client requests and inquiries.Acquires and maintains a thorough understanding of client data for assigned projects in order to properly create client deliverables.Assumes responsibility for accurate and high quality data being utilized on assigned projects.Accurately performs application coding and testing functions associated with the development of custom client software.Tracks, processes, analyzes and verifies data in order to improve accuracy and quality.Use technical skills to accurately monitor, update and maintain Urban Science internal software systems.Attends project meetings in order to document meeting notes and stay up to date on project deliverables.Partners with internal teams to ensure that software is properly installed, set up and functioning at established quality levels.Adheres to quality control standards for Urban Science and client organizations.Coordinates with individuals or teams to complete analyses, tasks and projects on time and with high quality.Proactively communicates with management to provide updates and report issues in a timely manner.Actively works with manager to understand and implement solutions to improve NPS (client satisfaction).Actively supports and participates in required Urban Science training programs to achieve targeted development objectives.Works with manager in completing own annual goal setting and performance review in a timely manner.Provides training and coaching to Analysts as directed and assumes responsibility for reviewing the accuracy and quality of their work.Works with manager to prioritize other duties as assigned.QualificationsStrong analytical, communication and quantitative skillsDemonstrated proficiency in MS Excel, Basic SQL skills to extract and manipulate data.Strong presentation and communication skills4 year Bachelors Degree in STEM related major or related business degree supplemented with relevant work experience.;active;rec1
Data Analyst;The Judge Group;hybrid;Eden Prairie, MN;Position: Data AnalystType: Contract to HireLocation: Hybrid to Eden Prairie, MNThis job will have the following responsibilities:Analyze raw data sources and data transformation requirements and perform data analytics and modeling against large data sets Analyze business requirements & functional specifications Able to determine the impact of changes in current functionality of the systemQualifications & Requirements:1-3 years of experience as a Data AnalystExperience using SQLExperience with Data MappingHealthcare experience preferredau, Microsoft BI etc.;active;rec1
Data Analyst;Carputty;hybrid;Atlanta Metropolitan Area;Carputty is redefining car ownership with fast, transparent ficing and intelligent valuation tools designed to empower consumers with a no-dealership way to fice and manage their car(s).The Position:†The Data Science department is hiring a Data Science Analyst, reporting to the Head of Engineering/Data Science. The position will have two functions.The primary function: Work on creating insightful analyses, dashboards, and visualizations that greatly benefit our business.†The secondary function: As a member of the Data Science team, design and develop core systems and algorithms that in effect become the secret sauce of CarPutty.Qualifications:Bachelor degree in computer science, statistics, applied mathematics or a related discipline.A strong desire to grow your technology skill set. You will be hands-on, every day working on problems.Good knowledge of SQL and the desire to understand the data, the how and why.A minimum of academic experience with at least one programming language.Experience using a data visualization tool like Tableau or Metabase.Great communication and presentation skills. Ability to collaborate effectively with both technical and non-technical stakeholders. You will be interacting with department heads and executives (who are a pretty technical group), but effective communication is important.Work closely with product owners and stakeholders to understand data-related needs. You will be learning our business from all angles. Operations, marketing, fice, technology, and business development are all customers of the Data Science team.Must be eligible to work in the US. Carputty is not able to provide visa sponsorship at this time.;active;rec1
Data Analyst;Carputty;hybrid;Atlanta Metropolitan Area;;active;rec1
Data Analyst;IQ Ventures;hybrid;Dublin, OH;The†Data Analyst/Engineer†will support SQL and Tableau report development and automated report generation, quality assurance testing, and delivery of data, reports, and dashboards to internal and external stakeholders.†The Data Analyst will be strong in quantitative analysis, enjoy coding, and be able to work in an agile development model, translate functional code, provide samples, and unit test.The Data Analyst is a data junkie who is endlessly curious and will employ critical thinking to tackle complex challenges, thrive in a fast-paced environment, take pride in hard work and rapidly contributing to business performance.Responsibilities:Wrangling data from multiple internal and external sources to create integrated views that can be used to drive decision making.Transform large, complex transactional data archives into actionable data assets such as SQL, Python, Spark, R, SAS, PowerPivot, Tableau, etc.Monitor and review existing Business Intelligence/tracking reports (Excel and Tableau) to uncover opportunities for further analyses, to ensure data integrity, and to identify trends, patterns, and irregularities.Exploring / mining data sources to reveal business opportunities.Preparing data summaries / visuals to be included within weekly executive briefings.Modify existing and develop new data visualization dashboards in Tableau and Excel.Generate, distribute, and automate reporting to meet deadlines and business reporting requirements.†Proactively analyze data to answer key questions from stakeholders.Perform recurring and ad-hoc quantitative and descriptive analysis to support decision making.Apply basic descriptive statistical tools to data sets to ensure stakeholders understand data quality and statistical significance for decision-making.Communicate effectively both in writing and verbally with stakeholders to understand current needs, near-term plans, and opportunities for improved data-driven decision support.Perform other duties as assigned.Knowledge, Skills, and Abilities:Analytical, creative, and innovative approach to solving problems.Naturally inquisitive with rigorous attention to detail.Demonstrated exceptional programming skills (SQL or equivalent).Fluent in advanced MS Excel techniques including Pivot Tables.Troubleshooting and data manipulation tasks.Strong teamwork, leadership, and collaboration skills.Committed to providing a positive user experience.Comfortable with change and ambiguity, can adapt and adjust as needed.Strong written and verbal communication.Ability to multitask, prioritize and work independently while maintaining strong attention to detail and deadlines.Experience and Education:Bachelor's degree in Computer Science, Mathematics, or other related quantitative fields.Minimum 3 years of experience in data mining or business intelligence / analytics.Fice, Banking industry knowledge preferred.2+ years Tableau experience required.3+ years MySQL (v5.6 +) Development preferred.2+ years Object-oriented programming such as: Python, R, PHP, Ruby preferred.Familiarity with Delta Lake, Databricks, and Apache Spark is a plus.IQVentures is an Equal Opportunity Employer and values diversity. It's our policy not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender, pregcy, marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. We will provide accommodations to applicants needing accommodations to complete the application process.At this time, IQVentures cannot transfer nor sponsor a work visa for this position. Applicants must be authorized to work directly for any employer in the United States without visa sponsorship.ÔªøNO Relocation Assistance Offered - Local Candidates Preferred;active;rec1
Junior Data Analyst;Iris Software Inc.;hybrid;Texas, United States;Iris's client, one of the world's largest ficial institutions is looking to hire a Jr Data Analyst for a long term contract opportunity.Our client is one of the world's largest ficial institutions, serving individual consumers, small and middle market businesses and large corporations with a full range of banking, investing, asset management and other ficial and risk-management products and services. It is a leading provider of global corporate and investment banking services.W2 candidates only Required Skills:Junior BA DA (2 to 5 yrs exp). ready to do operations for the Data Analytics streamThanks and RegardsShubhabrata MazumdarIris Software200 Metroplex Drive, Suite #300Edison, NJ 08817Mobile: 732-8130-283shubhabrata.mazumdar@irissoftware.com | www.irissoftware.com;active;rec1
Data Analyst (Remote);Texas Workforce Commission;remote;Austin, TX;Who We AreTexas Workforce Commission connects people with careers across the state. This position reports to the Reemployment Services and Eligibility Assessments program in Austin, TX, but is eligible for working remotely from anywhere in the State of Texas. We're a Family Friendly Certified Workplace with great work-life balance, competitive salaries, extensive opportunities for training and development, and fantastic benefits.Who You AreA highly skilled data professional that can read, analyze, interpret, and compile data to identify trends and enhance quality. You possess strong multi-tasking and organization skills with the ability to apply principles of logical or scientific thinking to a wide range of intellectual and practical problems.What You Will DoThe Data Analyst IV performs complex (journey-level) data analysis and data research. Work involves conducting detailed analysis of and extensive research on data, providing results, and monitoring and implementing data quality. May train others. Works under general supervision, with moderate latitude for the use of initiative and independent judgment.You Will Be Trusted To Consult with internal and external customers to identify user needs Compile and querie data Analyze data using standard statistical tools, methods, and techniques Identifie data gaps, errors, anomalies, inconsistencies, and redundancies by analyzing the content, structure, and relationships within RESEA data Read, analyze, and interpret workforce data, ficial reports, and regulatory guidance Interpret results to identify significant differences in RESEA data sets Investigate and Identifies data sources, RESEA data patterns and trends to ensure data quality Collaborate with data and systems analysts in the IT and I3 Divisions on RESEA data elements and sources Clean and prune data to discard irrelevant information Prepare concise, comprehensive technical reports to present and interpret data, identify alternatives, and make and justify recommendations on data revisions Assist in defining, developing, and implementing data standards Assist in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement Assist with developing software applications or programming to use for statistical modeling and graphic analysis May develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality May perform quality assurance and serve as a subject matter expert on data integrity, extraction, and compilation May drive the selection of data management tools, and the development of standards, usage guidelines and procedures for those tools May train others Perform related work as assignedYou Qualify WithGraduation from an accredited four-year college or university with major coursework in data science, business analytics, computer science, computer information systems, management information systems, accounting, fice, mathematics, statistics, economics or a related field, plus three years of full-time experience in data analysis, research, compilation and/or reporting work.One year of full-time experience in data analysis, research, compilation and/or reporting work may be substituted for each year (30 semester hours) of education.You Are a Great Fit With Experience with data visualization tools like Power BI, Tableau, etc. Advance skills using SharePoint and Excel Experience using data to support decisions based on quantitative or deductive reasoningYou Gain A Family Friendly Certified Workplace. Telecommuting offered from anywhere within the State of Texas Competitive salary: $6,217.26/month Defined Retirement Benefit Plan Optional 401(k) and 457 accounts Medical Insurance Paid time off, including time for vacation, sick and family care leave Additional benefits for active employees can be found at https://www.ers.texas.gov/Active-Employees/Health-Benefits.VeteransUse your military skills to qualify for this position or other jobs! Go to www.texasskillstowork.com to translate your military work experience and training courses into civilian job terms, qualifications, and skill sets. Also, you can compare this position to military occupations (MOS) at the Texas State Auditor's Office by pasting this link into your browser: http://www.hr.sao.texas.gov/Compensation/MilitaryCrosswalk/MOSC_PlanningResearchandStatistics.pdfHow To ApplyTo be considered, please complete a State of Texas Application for Employment, and apply online at www.workintexas.com or in Taleo.TWC is not considering applications from persons who require sponsorship for an employment visa.A position utilizing this classification will be designated as security sensitive according to the Texas Labor Code, Section 301.042.Primary LocationUnited States-Texas-AustinOther LocationsUnited States-TexasWork LocationsAustin:1117 Trinity StJobData ScientistsOrganizationTEXAS WORKFORCE COMMISSIONScheduleFull-timeEmployee StatusRegularJob TypeStandardJob LevelNon-ManagementTravelYes, 10 % of the TimeJob PostingOct 15, 2022, 12:00:00 AMWork From HomeYes;active;rec1
Data Analyst;Foxit;remote;Alpharetta, GA;Foxit is remaking the way the world interacts with documents through advanced PDF technology and tools. We are a leading global software provider of fast, affordable, and secure PDF solutions that are used by millions of people worldwide. Winner of numerous awards, Foxit has customers in more than 200 countries and global operations. We have a complete product line and an exciting and aggressive development schedule. Our proven PDF technology is disrupting the status quo establishment and has accelerated our company growth. We are proud to list as customers Google, Amazon, and NASDAQ, and with your skills and help, we plan to add many more. Foxit has offices all over the world, including locations in the US, Asia, Europe, and Australia. For more information, please visit https~//www.foxit.com.The Data Analyst will be a key contributor to the business leadership team, leading the development and oversight of data analytics, annual budget, and forecasting processes for Foxit. They will have the opportunity to build processes, collaborate across functional leadership, and play a key role in building out a data-oriented decision-making process. As a key contributor to the development of a data driven decision making process the successful candidate will need to collaborate with leaders in the Fice, Sales, and Information Systems teams to develop data models and analytic output to support the organization. The individual will be responsible for making our data more accessible, understandable, and useful in making business decisions and allocating resources. The individual will strive to create operational efficiencies and develop business cases to support investment. This position is a hands-on fice role responsible for developing all aspects of ficial data analysis. The individual will also be integral in the selection, implementation, and delivery of ERP and data analytics solutions.Job Functions~ Gather, analyze, and interpret data to determine patterns and trends that serve the company's interests by informing internal stakeholders Collaborate with the Global Information Systems team establish requirements for effective execution of the role Leverage other publicly available data sources to enhance the analysis process and aid in process of decision making Development of executive-facing dashboards and visualizations to track KPIs and improved forecast accuracy. Partner with the Chief Revenue Officer and the VP, Fice & Operations to develop effective forecasting models Building and maintaining ficials models to support strategic planning Conducting ongoing detailed analysis of sales, COGS, gross margin percent and operating expenses Assisting with the development and preparation of relevant Executive Committee presentations Supporting the organization with decision useful ficial analysis Preparing business cases to support new investments and acquisitions, strategic and other business decisions Working to continuously develop new processesRequired Qualifications/Experiences~3+ years progressive experience in ficial analysis or data analytics. Ideally with a SaaS company. Experience in statistical analysis and capability on managing and querying databases and data warehouses. Familiarity with programming for data analysis, e.g., Python, SQL, or R. Highly capable with Excel, with Data visualization experience - Tableau, PowerBI, Spotfire, QlikView, etc. Experience building and maintaining ficial models to support strategic planning. Demonstrated ability in building and understanding annual ficial budgets and forecasts, experience analyzing sales, cost, and margin performance across multiple business. Experience using integrated ERP systems (NetSuite, SAP 4/Hana) and reporting tools. Demonstrates effective verbal and written communication skills. Able to work well in a fast-paced, hyper-growth, business environment while managing several priorities and projects simultaneously. Self-motivated, driven by a desire to continuously improve performance and processesFor US candidates~ Foxit Software Inc. participates in E-Verify in GA and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.The role description doesn't fit 100%? But you have the feeling that Foxit could give your career a boost? Let's talk anyway and tell us your story! We are still growing, and some job profiles are not written yet!Foxit is a progressive, open-minded meritocracy. What you're capable of matters, the rest doesn't. (We're an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.);active;rec1
Junior Data Analyst;firstPro, Inc;hybrid;Camden, NJ;firstPRO is looking to fill a Junior Data Analyst position for a client of ours in the automotive industry. Logistically, this is a 6-month contract with potential to recur as well as go permanent. It is an onsite position with offices being in the Camden area. The candidate is responsible for leading and overseeing the day-to-day operations of the Integrated Lead Management (ILM) program, as well as the coordination of stakeholder meetings. The candidate will also monitor and analyze ILM metrics to interpret, report, and provide insight to SOA Headquarters marketing stakeholders. Compensation ranges from $24.00 - $28.00 an hour and is based on professional experience. Interested candidates please apply with an updated resume!Desired Qualifications/Job Duties-Bachelor's Degree in Data Science, Computer Science, Statistics, Psychology, Information Technology, or a related field2+ years of experience in data analysisProficient in Windows and Microsoft Office Suite (particularly Excel and PowerPoint) as well as Tableau and/or business intelligence/reporting dashboards.Excellent project management skills to handle a fast-paced environment and coordinate changing priorities.Strong analytical skills to help identify business opportunities and track performance.Outstanding verbal and written communication, facilitation, and interpersonal skills with ability to interact with all levels of management and present to upper management in a concise and professional manner.Ability to use often complex and technical tools which can then be concisely communicated to other stakeholders, i.e. ability to using data to tell a broader insights story.Experience in automotive marketing and retailing preferred.;active;rec1
Data Analyst (Remote);CoinTracker;remote;New York City Metropolitan Area;CoinTracker makes cryptocurrency portfolio tracking and tax compliance simple. Our mission is to increase the ficial freedom and prosperity of the world.Some things we're proud of:üìà 3% of all global cryptocurrency assets are tracked on CoinTracker ($50B daily)üí≤ Profitableü§ù Partnered with Coinbase, TurboTax, OpenSea, and other industry leadersüíº Venture-backed by Accel, Y Combinator, and other top investorsüó∫Ô∏è Founders: Jon previously built TextNow (200M downloads), Chandan was previously a product manager at GoogleLearn more about our mission, culture, and hiring process.Your opportunity:CoinTracker's mission is to enable everyone in the world to use crypto with peace of mind. As a data analyst, your goal is to take our wide variety of data (blockchains, transactions, usage, mobile/web, etc.) and make it accessible and impact-driven. You'll be building visualizations, running queries, and helping product, growth, marketing, partnerships, business, and support teams make important decisions and build the best products for the future of crypto.1-year outcomes:Comprehensive dashboards of the user lifecycle (signup, engagement, churn) across our web and mobile platforms.Team-specific dashboards launched with KPIs and metrics relevant to the team i.e. Growth, Consumer, Fice, Support, etc.Intake process created with a prioritized backlog of data requests for future tools/dashboards.Completed pricing analysis to develop new pricing model/experiments for CoinTrackerYou will:Analyze our ads and marketing data to develop user models and compute LTV and effectiveness of different channels.Work with our engagement/churn/retention data alongside product teams to improve product features, measure usage, and manage user cohorts.Help develop fice/long-term models and understand tax/portfolio plan purchase and retention behaviors.Partner with support to super-charge analytics for support tickets, queues, wait times, and help support be a highly-efficient organization.Some of the skills we're excited about:SQL Programming knowledge/ability to write queries comfortablyExperience with Tableau/Mixpanel/etc. for visualization and dashboardsCurious mindset to dig into datasets and find issues/concernsStatistical knowledge to understand p-values, confidence intervals, and impact of experimentsXFN Collaboration skills to work with PM, Eng, Design, Fice, Support, etc. to gather requirements and provide solutionsWhat's it like working at CoinTracker?We are a fully internationally distributed, tight-knit team. We have minimal process, and the majority of our time is spent working and collaborating asynchronously through tools like Figma, Github, Google Meet, Linear, Notion, Slack, Zendesk. We also stay aligned and bonded through weekly sprints, standups, all hands, and socials. We aim to empower every individual on the team with full transparency, ownership, autonomy, and clear objectives. Learn more about our guiding principles.If this sounds exciting, we'd love to hear from you! Not sure you're a perfect fit? Reach out anyway. We're looking for awesome individuals, not folks who perfectly match a job posting.;active;rec1
